repository,decision,production_scope,required_validation,primary_risk,reason
EarningsOS,integrate,"earnings,data,features,evaluation","full PIT/leakage/data-quality regression","stale/provenance inconsistencies","existing MarketAI-relevant data and audit infrastructure"
OpenAlice,adapt,"research agent workspace,approval workflow","security,license,agent evidence tests","AGPL; experimental broker layer","strong workspace/agent governance concepts"
Lumibot,research,"strategy research/backtest adapters","temporal parity,execution fidelity","duplicate execution engine","useful Python strategy abstractions"
NautilusTrader,integrate,"authoritative event-driven simulator/execution abstraction","India venue adapter,market-rule tests,determinism","complex Rust/Python integration","strong research-to-live event semantics"
Hummingbot,optional,"crypto connector/execution research","venue-specific tests","scope mismatch for NSE","do not add to core until justified"
Freqtrade,optional,"crypto research only","crypto-only benchmark","scope mismatch","not needed for initial NIFTY-50 product"
Vibe-Trading,research,"agent ideas","reproducible benchmark","unclear maturity","must prove value"
MIT-TradingAgents,research,"agent research","evidence-grounded evaluation","LLM hallucination/latency","patterns only"
FinRL,research,"RL experiments","walk-forward simulator benchmark","reward leakage/overfit","high research value, high validation cost"
Backtrader,benchmark,"legacy event-driven benchmark","execution parity tests","duplicate engine","retain as comparison reference"
CCXT,connector,"exchange abstraction where applicable","API contract tests","venue mismatch","connector only"
Polymarket API,research,"alternative signal","legal/data/proper timestamp validation","domain/scope","optional"
OpenWA,isolate,"messaging support only","security review","automation/security surface","not core"
Chronos,benchmark,"forecast tournament","fixed PIT benchmark","compute/model drift","candidate foundation model"
TimesFM,benchmark,"forecast tournament","fixed PIT benchmark","compute/license/model availability","candidate foundation model"
FinCast,benchmark,"financial forecasting tournament","fixed PIT benchmark","reproducibility","candidate financial model"
Uni2TS,research,"forecast research","fixed PIT benchmark","complexity","general foundation model"
Timer-XL,research,"forecast research","long-context PIT benchmark","compute","specialized long-context candidate"
Financial-Time-Series,benchmark,"baseline/research corpus","dataset/license audit","heterogeneous code/data","use ideas and benchmark implementations"
StockMixer,benchmark,"stock prediction tournament","walk-forward India benchmark","dataset assumptions","stock-specific model"
StockCL,research,"representation-learning tournament","walk-forward India benchmark","complexity","contrastive candidate"
Kronos,benchmark,"financial forecasting tournament","K-line PIT benchmark","compute/checkpoint provenance","strong financial foundation candidate"
Kronos1,research,"Kronos lineage comparison","same benchmark as Kronos","duplication","comparison only"
Conductor,adapt,"Kronos engineering wrapper","checkpoint integrity + regression tests","lineage duplication","engineering fixes are valuable; model is Kronos lineage"
FinGPT,research,"financial NLP/RAG","golden evidence benchmark","LLM hallucination/compute","use for document intelligence"
FinLLMs,research,"financial NLP research","task-specific benchmarks","model/data licenses","benchmark candidate"
PIXIU,benchmark,"financial NLP benchmark","task-specific benchmark","LLM cost/license","evaluation ecosystem"
FLANG,benchmark,"financial NLP benchmark","task-specific benchmark","license/data provenance","financial language candidate"
InvestLM,research,"investment-language research","evidence-grounded benchmark","hallucination","not numerical prediction"
FinVis-GPT,research,"financial visual/document research","multimodal benchmark","complexity","optional"
FinBERT,integrate,"first-pass financial sentiment","golden sentiment benchmark + calibration","domain shift","simple auditable baseline"
Kimi-K3,research,"LLM reasoning sandbox","evidence-grounded task benchmark","cost/security","not primary quant model"
Kimi-K3-in-C,research,"local inference runtime experiments","runtime/security benchmark","model/runtime complexity","engineering reference"
Crucix,research,"intelligence research sandbox","full source/security/reproducibility audit","unknown maturity","cannot promote without evidence"
Hermes-Agent,sandbox,"agent orchestration in research","tool sandbox + evidence IDs + permission tests","autonomy/security","use governance/runtime patterns only"
Shannon,security,"security CI/audit","controlled security execution","dangerous tooling if misused","security validation only"
Numbat,security,"security/observability research","source/security audit","unknown maturity","supporting only"
Skfolio,integrate,"risk/portfolio layer","portfolio constraints + scenario tests","depends on prediction quality","appropriate risk/optimization role"
VectorBT,research,"fast vectorized research","temporal/execution parity tests","vectorized assumptions","research speed, not live execution"
Ornith-1,research,"agent/intelligence sandbox","source/reproducibility audit","unknown maturity","requires evidence"
FreeDomain,reject,"none","N/A","irrelevance","no demonstrated MarketAI value"
Turbo-Fieldfare,optional,"runtime/local inference support","runtime/security tests","unclear scope","only if measured benefit"
